element,atom_count,mean_initial_distance_A,mean_final_distance_A,mean_radial_change_A,mean_displacement_A,max_displacement_A
Ga,3,1.9467102364933482,2.17041438082834,0.223704144334992,0.22391628552430956,0.2239477208276702
O,6,2.787210288321343,2.6309568971998303,-0.15625339112151257,0.15754142592903708,0.16547978139434427
Zn,1,2.5478450000000015,2.6123119110626227,0.06446691106262126,0.06446692539411711,0.06446692539411711
