site_id,wyckoff,environment,removed_atom_index_0based,removed_atom_index_1based,frac_x,frac_y,frac_z,cart_x_A,cart_y_A,cart_z_A,supercell,pristine_atoms,defect_atoms,charge,filename
O001,3a,Ga3Zn1,94,95,0.5555555555555556,0.4444444444444444,0.4536476433333333,3.3715680700000012,3.893151465611295,11.873895733620738,3x3x1,189,188,0,structures/crystalline/defects/oxygen_vacancies/3x3x1/O001/q0/igzo_r3m_3x3x1_vo_o001_q0.cif
O002,3a,In3Zn1,121,122,0.5555555555555556,0.4444444444444444,0.6274857033333333,3.3715680700000012,3.893151465611295,16.423979988016857,3x3x1,189,188,0,structures/crystalline/defects/oxygen_vacancies/3x3x1/O002/q0/igzo_r3m_3x3x1_vo_o002_q0.cif
O003,3a,In3Ga1,157,158,0.44444444444444453,0.5555555555555556,0.37704411666666665,1.685784035000002,4.866439332014119,9.868854372038511,3x3x1,189,188,0,structures/crystalline/defects/oxygen_vacancies/3x3x1/O003/q0/igzo_r3m_3x3x1_vo_o003_q0.cif
O004,3a,Ga1Zn3,184,185,0.44444444444444453,0.5555555555555556,0.5294706466666668,1.685784035000002,4.866439332014119,13.858507467023797,3x3x1,189,188,0,structures/crystalline/defects/oxygen_vacancies/3x3x1/O004/q0/igzo_r3m_3x3x1_vo_o004_q0.cif
