radius_A,atoms_inside,max_displacement_inside_A,mean_displacement_inside_A,max_displacement_outside_A,mean_displacement_outside_A
3.0,10,0.13413104592878614,0.12070438618005526,0.08739921980162536,0.008222694000487253
4.0,20,0.13413104592878614,0.07505387878662088,0.0345562352837006,0.006961939393778965
5.0,42,0.13413104592878614,0.04154535041642259,0.0345562352837006,0.00634094983833928
6.0,65,0.13413104592878614,0.032691943365407046,0.021384169804244634,0.004436642887283138
7.0,82,0.13413104592878614,0.02762397990574613,0.0149401022082269,0.0038256324680764273
