element,atom_count,mean_initial_distance_A,mean_final_distance_A,mean_radial_change_A,mean_displacement_A,max_displacement_A
Ga,3,1.9467099031830264,2.0638596209732785,0.117149717790252,0.11763691576337258,0.11764612397007204
O,6,2.7872100555211756,2.660309536937872,-0.1269005185833035,0.12802472859962544,0.13413104592878614
Zn,1,2.547845,2.6338297429004136,0.08598474290041347,0.0859847429126823,0.0859847429126823
