element,atom_count,mean_initial_distance_A,mean_final_distance_A,mean_radial_change_A,mean_displacement_A,max_displacement_A
Ga,3,1.9467099031830264,1.8526656355071947,-0.09404426767583189,0.09416622646825205,0.09479137970024315
O,6,2.7872100555211756,2.734754775787182,-0.05245527973399337,0.0637271985876051,0.06480557697796885
Zn,1,2.547845,2.6286940128495355,0.08084901284953538,0.08084919403801302,0.08084919403801302
