site,environment,tight_static_energy_Ha,relative_energy_eV
O001,Ga3Zn1,-12260.03462893862,0.96917530053832
O002,In3Zn1,-12260.051235718196,0.5172818071869931
O003,In3Ga1,-12260.066175247555,0.11075650345907248
O004,Ga1Zn3,-12260.070245473984,0.0
