site,environment,max_first_shell_displacement_A,max_displacement_outside_6A_A,mean_displacement_outside_6A_A
O001,Ga3Zn1,0.2239476853062688,0.0182123780378522,0.0045493146292306
O002,In3Zn1,0.3218379858115058,0.0504475180394578,0.0057120480911836
O003,In3Ga1,0.358132080824982,0.0614596363388261,0.0066535928939433
O004,Ga1Zn3,0.3894732242331596,0.0577603876415579,0.0071114520663149
