site,element,atom_count,mean_initial_distance_A,mean_final_distance_A,mean_radial_change_A,mean_displacement_A,max_displacement_A
O001,Ga,3,1.9467101034667404,2.170414374996007,0.223704271529267,0.2239164240153403,0.2239476853062688
O001,O,6,2.7872102325189942,2.6309568951502578,-0.156253337368736,0.1575414104906722,0.1654800263622066
O001,Zn,1,2.547845284615609,2.612312264687972,0.0644669800723627,0.0644669943454976,0.0644669943454976
O002,In,3,2.225112747340526,2.415354914276217,0.190242166935691,0.1954838025796843,0.1954907431920781
O002,O,3,2.914868062721388,2.8094923953942152,-0.105375667327173,0.1054108983256403,0.1054327948733762
O002,Zn,1,2.0022389697805094,2.324076955400136,0.3218379856196267,0.3218379858115058,0.3218379858115058
O003,Ga,1,1.9821677546001368,2.340299835415636,0.3581320808154993,0.358132080824982,0.358132080824982
O003,In,3,2.23180008559863,2.3984965800932194,0.1666964944945892,0.1676434912763157,0.1676536166422994
O003,O,6,2.854694493384633,2.6910048536750857,-0.163689639709547,0.1656621982012156,0.2202213871984496
O004,Ga,1,2.007485340385149,2.3089277075742456,0.3014423671890966,0.3014423672083076,0.3014423672083076
O004,O,3,2.779899540990112,2.5284352535456303,-0.2514642874444823,0.2610738818211495,0.2610799853750746
O004,Zn,3,2.02642267794117,2.413766563171716,0.3873438852305457,0.3894572367768917,0.3894732242331596
